2026-08-17 18:43:35.778 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: server rejected WebSocket connection: HTTP 429
2026-08-17 18:43:35.778 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-08-17 18:43:35.778 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region LIVE: Failed to connect to any WebSocket endpoint
2026-08-17 18:43:35.778 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to LIVE: Failed to connect to any WebSocket endpoint
2026-08-17 18:43:35.778 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 3.24 seconds before next reconnect attempt
2026-08-17 18:43:39.033 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any region after 2 attempts (Code: None)
2026-08-17 18:43:39.033 | ERROR    | api_quotex.client:connect:195 - Connection failed: Failed to connect to any region after 2 attempts
2026-08-17 18:43:39.033 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Connection failed: Failed to connect to any region after 2 attempts
2026-08-17 18:43:39.033 | INFO     | api_quotex.client:disconnect:315 - Disconnecting from Quotex...
2026-08-17 18:43:39.033 | INFO     | api_quotex.websocket_client:disconnect:220 - Disconnecting from WebSocket
2026-08-17 18:43:39.033 | INFO     | api_quotex.client:disconnect:351 - Disconnected successfully
2026-08-17 18:44:08.006 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:44:08.006 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:44:08.006 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 18:44:08.174 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2026-08-17 18:44:08.174 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2026-08-17 18:44:08.174 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2026-08-17 18:44:08.174 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
2026-08-17 18:44:08.186 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: DEMO with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-08-17 18:44:08.187 | INFO     | api_quotex.websocket_client:connect:165 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-08-17 18:44:09.841 | INFO     | api_quotex.websocket_client:connect:198 - Connected to LIVE region successfully
2026-08-17 18:44:10.650 | INFO     | api_quotex.websocket_client:_send_handshake:466 - Authentication successful (via instruments/list header)
2026-08-17 18:44:10.651 | INFO     | api_quotex.client:_on_authenticated:1148 - Authenticated with server
2026-08-17 18:44:10.651 | INFO     | api_quotex.client:_start_regular_connection:240 - Connected to region: DEMO
2026-08-17 18:44:11.252 | INFO     | api_quotex.client:_on_assets_updated:886 - Stored 92 assets from instruments/list
2026-08-17 18:44:11.252 | INFO     | api_quotex.client:_on_authenticated:1148 - Authenticated with server
2026-08-17 18:44:11.253 | INFO     | api_quotex.client:_on_json_data:1643 - Received JSON event: type=s_balance/list, data={'liveBalance': 3195.19, 'demoBalance': 1287137.86, 'tournamentsBalances': {}, 'dayLimit': 0, 'dayBa
2026-08-17 18:44:11.253 | INFO     | api_quotex.client:_on_json_data:1643 - Received JSON event: type=settings/list, data=[{'chart_id': 'graph', 'settings': '{"chartId":"graph","chartType":2,"currentExpirationTime":1786971
2026-08-17 18:44:11.253 | INFO     | api_quotex.client:_on_json_data:1643 - Received JSON event: type=s_drawing/load, data={'list': []}
2026-08-17 18:44:11.254 | INFO     | api_quotex.client:_on_json_data:1643 - Received JSON event: type=orders/opened/list, data=[]
2026-08-17 18:44:11.306 | INFO     | api_quotex.client:_start_keep_alive_tasks:354 - Starting keep-alive tasks for regular connection...
2026-08-17 18:44:11.306 | INFO     | api_quotex.client:_start_regular_connection:247 - Successfully connected and authenticated
2026-08-17 18:44:11.307 | INFO     | api_quotex.client:disconnect:315 - Disconnecting from Quotex...
2026-08-17 18:44:11.307 | INFO     | api_quotex.websocket_client:disconnect:231 - Disconnecting from WebSocket
2026-08-17 18:44:12.083 | INFO     | api_quotex.client:disconnect:351 - Disconnected successfully
2026-08-17 18:44:27.529 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 18:44:27.529 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 18:44:27.530 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-08-17 23:14:01.065 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-08-17 23:14:01.066 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-08-17 23:14:01.066 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
